Display Name,Formatted Address,Rating,User Rating Count,Open Now,Price Range,Serves Vegetarian Food
Subzi Mandi Chinguacousy & Williams,"9825 Chinguacousy Rd, Brampton, ON L6X 0V1, Canada",3.8,1313,True,N/A,N/A
Babu Paan,"80 Pertosa Dr #4, Brampton, ON L6X 5E9, Canada",4.7,837,True,N/A,N/A
Tim Hortons,"9800 Chinguacousy Rd, Brampton, ON L6X 5E9, Canada",4.1,1569,True,CAD 1-10,True
Doaba Sweets And Restaurant,"9705 James Potter Rd, Brampton, ON L6X 3B9, Canada",3.5,1139,True,CAD 10-20,True
Tim Hortons,"9950 Chinguacousy Rd, Brampton, ON L6Y 0B8, Canada",3.9,1102,True,CAD 1-10,True
Dawat-E-Khas,"80 Pertosa Dr, Brampton, ON L6X 5E9, Canada",4,1567,True,N/A,N/A
Tiffin Pros - Veg. Tiffin Service Brampton | Catering,"965 Bovaird Dr W #13, Brampton, ON L6X 0G3, Canada",4.4,286,True,CAD 10-20,True
Yum Shawarma,"80 Pertosa Dr unit-3, Brampton, ON L6X 5E9, Canada",4.4,1331,True,CAD 10-20,N/A
Street Bitez - Fusion Indian Street Food,"110 Pertosa Dr, Brampton, ON L6X 5E9, Canada",4.6,752,True,CAD 10-20,True
Munchers,"10 Flowertown Ave Unit 11, Brampton, ON L6X 2J9, Canada",4.4,1226,True,CAD 10-20,True
Karahi Point Express,"9705 James Potter Rd #8, Brampton, ON L6X 3B9, Canada",3.8,575,True,N/A,True
Pizza Depot,"9705 James Potter Rd, Brampton, ON L6X 0R8, Canada",3.6,539,True,N/A,N/A
Tony & Jim's Place,"10 Flowertown Ave, Brampton, ON L6X 2J9, Canada",4.4,794,True,CAD 10-20,N/A
New India Curry Mahal,"80 Pertosa Dr Unit 15-16, Brampton, ON L6X 5E9, Canada",4.1,1731,True,N/A,True
New Taste & Quality Takeout and catering,"80 Pertosa Dr #13, Brampton, ON L6X 5E9, Canada",4.3,75,True,CAD 10-20,True
New Star Pizza Pertosa,"80 Pertosa Dr Unit #7, Brampton, ON L6X 5E9, Canada",4,172,True,CAD 20-30,True
Surati Egg Flavors,"157 Spicebush Terrace, Brampton, ON L6X 0K6, Canada",4.8,50,N/A,CAD 10-20,N/A
Thayagam Restaurant,"80 Pertosa Dr, Brampton, ON L6X 5E9, Canada",4.3,6,True,N/A,N/A
Karthik's Military Biriyani (Pre Order Take Away),"95 Dunlop Ct, Brampton, ON L6X 5A6, Canada",5,24,False,CAD 10-20,True
The Tiramisu Guy (at Oishii Tea),"110 Pertosa Dr, Brampton, ON L6X 5E9, Canada",5,2,True,N/A,N/A
Majha Heights Kitchen & Bar,"51 McMurchy Ave S Unit 9&10, Brampton, ON L6Y 1Y5, Canada",4.2,1931,True,CAD 10-30,N/A
Tim Hortons,"400 Queen St W, Brampton, ON L6X 1B3, Canada",3.7,1712,True,CAD 1-10,True
Tandoori Boys,"8975 McLaughlin Rd S Unit 5, Brampton, ON L6Y 0Z6, Canada",4.5,2874,True,CAD 10-30,N/A
Nepali Momo House and Hakka Cuisine McLaughlin Road,"4 McLaughlin Rd S Unit # 1-2, Brampton, ON L6Y 3B2, Canada",4.2,391,True,N/A,N/A
B-Town pizza,"8975 McLaughlin Rd S #9, Brampton, ON L6Y 0Z6, Canada",4.5,1392,True,N/A,N/A
Real Punjabi Taste,"4 McLaughlin Rd S #11, Brampton, ON L6Y 3V2, Canada",4.2,691,True,CAD 10-20,True
Shawarma Alley Brampton,"345 Queen St W #7, Brampton, ON L6Y 3A9, Canada",4.4,549,True,CAD 10-20,N/A
Fresh Burrito,"8970 Chinguacousy Rd Unit # B2.2, Brampton, ON L6Y 5X6, Canada",4.3,1041,True,CAD 10-20,True
Joes Pizza and Pasta House Since 1967,"51 McMurchy Ave S, Brampton, ON L6Y 1Y5, Canada",4.6,693,True,CAD 1-20,True
Keshav Foods,"8975 McLaughlin Rd S unit 8, Brampton, ON L6Y 0Z6, Canada",3.9,485,True,CAD 10-20,True
